symbol,name,sector,sector_class,status,all_pass,manual_cash_check,g1_solvency,g3_margin_slope,g4_cfo_np,g5_roe_relative,g6_new_high,g7_fwd_pe,composite,cagr_score,yield_score,peg_score,cagr_3y_pct,dividend_yield_pct,peg,roe_3y_avg_pct,fwd_pe,price,mcap
TEKA,TEKA CONSTRUCTION PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,YES,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-11.26,8.67,,10.96,5.43,1.73,519000000.0
TERA,Terabyte Plus Public Company Limited,-,default,scanned,NO,N/A,YES,NA,NA,NA,NA,YES,57.44,0.0,91.47,100.0,,6.15,6.753,,14.53,1.09,261600000.0
TFG,THAIFOODS GROUP PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,NO,YES,NA,YES,YES,YES,53.4,62.95,91.27,2.8,16.37,6.13,0.056,18.68,7.65,10.2,59401561755.0
TFI,THAI FUTURE INCORPORATION PUBLIC COMPANY LIMITED,Packaging,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,,15217.5,,-15.47,,0.04,673049459.6
TFM,THAI UNION FEEDMILL PUBLIC COMPANY LIMITED,Agribusiness,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,72.78,100.0,100.0,9.26,88.46,9.23,0.185,18.5,6.84,6.5,6500000000.0
TFMAMA,THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,YES,NO,YES,YES,NO,NO,12.73,0.0,42.45,0.0,-2.18,2.43,,12.09,16.72,188.0,61984354632.0
TGE,THACHANG GREEN ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,YES,YES,YES,NO,YES,YES,43.11,29.05,4.96,100.0,7.55,0.28,2.563,11.57,12.25,1.13,2838211006.28
TGH,THAI GROUP HOLDINGS PUBLIC COMPANY LIMITED,Insurance,default,scanned,NO,N/A,NO,YES,YES,NO,NO,YES,5.62,0.0,16.67,2.07,-10.29,0.95,0.041,5.1,7.37,10.5,7897027236.0
TGPRO,THAI-GERMAN PRODUCTS PUBLIC COMPANY LIMITED,Steel and Metal Products,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,0.0,0.0,0.0,0.0,-100.0,,,-7.11,,0.03,141583796.82
TH,TONG HUA HOLDING PUBLIC COMPANY LIMITED,Finance & Securities,bank,scanned,NO,N/A,YES,NO,NO,NO,NO,YES,27.76,59.47,5.97,7.26,15.46,0.34,0.145,9.27,7.72,0.44,439272166.96
